Device: Spoon Stabilizer Support,,Total Cost,Total Print time (hr),Total filament (g),Unit Cost,,,,,,
Version: V1.0,Last Updated: 2025-Dec-02, $50.43 ,4.97,33, $5.55 ,,,,,,
Commercial Parts,,,,,,,,,,,
"Part type (Electrical, Mechanical, Sanitization, etc)",Part Name,Quantity Needed,Pkg Quantity,Price per package,Price per Unit,Price for qty needed,,Link,,,
Mechanical,"Bearing, 608-ZZ",1,10, $11.55 , $1.16 , $1.16 ,,https://www.amazon.ca/gp/product/B07XLV1W2M,,,
Mechanical,Computer Case Screws,1,10, $9.89 , $0.99 , $0.99 ,,https://www.amazon.ca/gp/product/B07TXS98L6,,,
Mechanical,Fishing Weights,2,10, $13.99 , $1.40 , $2.80 ,,https://www.amazon.ca/gp/product/B0B1JBJ91F,,,
Mechanical,Spoon,1,12, $14.17 , $1.18 , $1.18 ,,https://www.amazon.ca/Winco-0005-03-12-Piece-Dinner-Stainless/dp/B004UNF2II,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3D Printed Parts                                                                                     ESTIMATED PRICING USING 1KG ROLL COST:, $25.00 ,,,,,,,,,,
Part,Description,Quantity Needed,TOTAL Mass (g),Estimated Price,Print Time (Min),Link,,,,,
Grip Handle,Main Handle,1,26, $0.65 ,224,,,,,,
Grip Insert,Handle endcap,1,2, $0.05 ,15,,,,,,
Insert,Connects spoon to bearing,1,2, $0.05 ,27,,,,,,
Spoon attachment,Connects to spoon,1,3, $0.08 ,32,,,,,,
,,,, $-   ,,,,,,,
,,,Total Print Cost:, $0.83 ,,,,,,,
Tools for Assembly,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Alternatives (if there are other sources for some parts link them below),,,,,,,,,,,
Part and description,Link,,,,,,,,,,
